url,name,category_code,date_added,date_published,data_format_version,source,authority,notes
banner.itatitanpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
banner.itcasinobellini.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
banner.mansionpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
banner.titan123poker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
banner.titanitapoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
banner.williamhillpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
baxbet.blogspot.it,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bbqbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
be.betuniq.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
be.betuniq.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
belliniitaliancasino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bestcasinoonline.it,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bestonlyonlinecasino.ru,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet.stanleyint.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet.starpricebet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet.sunderbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet.tipexbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet1128.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet118.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet17.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet2.starpricebet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet2.sunderbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet2290new.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet2875.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet365.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet4.starpricebet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet5.tipexbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet7680.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet7star.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betbadlands.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betcave.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betclu.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
beteat.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betfaktor.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betfaktor2014.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betfaktor24.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betfaktor24.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betfive5.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betforever.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betin71.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet-irish.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betlive5000.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betlive5000.lux777.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
