url,category_code,category_description
http://www.probigua.org,MINR,Minority rights and ethnic content
http://www.radiocultural.com,MINF,Minority faiths
http://www.radioestrella.net,REL,"Religious conversion, commentary and criticism"
http://www.radionizkor.org,FEXP,Free expression and media freedom
http://www.radionizkor.org/guatemala/,FEXP,Free expression and media freedom
http://www.radiopolis.info,FEXP,Free expression and media freedom
http://www.raza-mexicana.org,HACK,Hacking
http://www.redfem.net,WOMR,Women's rights
http://www.redgua.org,POLT,Political transformation
http://www.redindigena.info,MINR,Minority rights and ethnic content
http://www.redporlapaz.blogspot.com,FEXP,Free expression and media freedom
http://www.reservasdeguatemala.org,ENV,Environment
http://www.resistencia-mineria.org,ENV,Environment
http://www.revistafuturos.info,ENV,Environment
http://www.revistayque.com,FEXP,Free expression and media freedom
http://www.rosario.catholic.net,REL,"Religious conversion, commentary and criticism"
http://www.rudygiron.com,FEXP,Free expression and media freedom
http://www.sedem.org.gt,POLT,Political transformation
http://www.sexoinfo.org,XED,Sex education and family planning
http://www.sonora.com.gt,FEXP,Free expression and media freedom
http://www.telediario.com.gt,FEXP,Free expression and media freedom
http://www.tierra-viva.org,WOMR,Women's rights
http://www.tierramerica.info,ENV,Environment
http://www.todosida.org,PUBH,Public health
http://www.ucnguatemala.com,POLR,Political reform
http://www.unionradiogt.org,MINF,Minority faiths
http://www.urng-maiz.com,MILX,"Militants, extremists and separatists"
http://www.urng-maiz.org.gt,POLR,Political reform
http://www.velocidadmaxima.com,FEXP,Free expression and media freedom
http://www.visionconvalores.com,POLR,Political reform
http://www.wepa.com.gt,POLT,Political transformation
http://www.wepa.com.gt/mln/,POLT,Political transformation
http://www.winaq.org.gt,POLR,Political reform
http://www.wingsguate.org,XED,Sex education and family planning
http://www.zuryrios.com,POLR,Political reform
http://xelaju.es.tl,FEXP,Free expression and media freedom
