url,category_code,category_description
http://ilga-europe.org/home/how_we_work/previous_projects/russian_project/the_russian_lgbt_network,GAYL,Gay-lesbian
http://ingushetiyaru.org,MINR,Minority rights and ethnic content
http://inosmi.ru,FEXP,Free expression and media freedom
http://ipvnews.org,FEXP,Free expression and media freedom
http://jamagat.wordpress.com,MILX,"Militants, extremists and separatists"
http://justinkripps.ca,MISC,Miscellaneous
http://kavkaz.org.uk,MILX,"Militants, extremists and separatists"
http://kavkaz.tv,MILX,"Militants, extremists and separatists"
http://kavkazcenter.info,MILX,"Militants, extremists and separatists"
http://kavkaznews.com,MILX,"Militants, extremists and separatists"
http://kolebcev.v-teme.com,MISC,Miscellaneous
http://konoplya.2anekdots.ru,ALDR,Alcohol and drugs
http://krauzes.com,ALDR,Alcohol and drugs
http://krown-products.net,COMM,E-commerce
http://legalitolko.biz,MISC,Miscellaneous
http://legalrc.biz,ALDR,Alcohol and drugs
http://lgbtnet.ru,GAYL,Gay-lesbian
http://lgbt_grani.livejournal.com,FEXP,Free expression and media freedom
http://liability-insurance-company.com,COMM,E-commerce
http://lib.rus.ec,HAL,"History, arts and literature"
http://limonka.nbp-info.com/,POLR,Political reform
http://limonova.v-teme.com,COMM,E-commerce
http://looo.ch,HAL,"History, arts and literature"
http://lubov-kontakt.ru,DATE,Dating
http://lurkmore.to,POLR,Political reform
http://milli-mejlis.blogspot.com,MINR,Minority rights and ethnic content
http://nakur.ruckp.org,ALDR,Alcohol and drugs
http://navalny.livejournal.com,FEXP,Free expression and media freedom
http://newsland.com,FEXP,Free expression and media freedom
http://nordrus-norna.livejournal.com,HATE,Hate speech
http://ns-wp.ws,HATE,Hate speech
http://onlinefilms.com.ua,MISC,Miscellaneous
http://oper-v-zakone.livejournal.com,MINR,Minority rights and ethnic content
http://passiya.com,DATE,Dating
http://pictureview.com,MMED,Multimedia sharing
http://pipetka.net,MMED,Multimedia sharing
http://pocciy.com,FEXP,Free expression and media freedom
http://pornolab.net,PORN,Pornography
http://poroshki.tv,ALDR,Alcohol and drugs
http://pravdaoputine.ru,FEXP,Free expression and media freedom
http://preservativ.chat.ru,XED,Sex education and family planning
http://psyplants.org,ALDR,Alcohol and drugs
http://putinbog.wordpress.com,FEXP,Free expression and media freedom
http://queerussia.info,GAYL,Gay-lesbian
http://rbth.ru/lgbt_in_russia,GAYL,Gay-lesbian
http://rchemlab.com,ALDR,Alcohol and drugs
http://redenginejeans.com,COMM,E-commerce
http://reinform.livejournal.com,MISC,Miscellaneous
http://rko.marsho.net,HATE,Hate speech
http://ru.wikipedia.org,HAL,"History, arts and literature"
